min_topics,seed,n_lifestyle_articles,n_entertainment_articles,n_bus_articles,n_socmed_articles,n_tech_articles,n_world_articles,n_other_articles,realized_diversity,lp_shares,shares_trade_off
1,0,1.0,0.0,0.0,3.0,2.0,0.0,4.0,4,88.36806,0.0
1,10,2.0,0.0,1.0,4.0,0.0,0.0,3.0,4,88.62506,7.6293945e-06
1,20,1.0,0.0,1.0,1.0,0.0,0.0,7.0,4,89.95725,7.6293945e-06
1,30,0.0,1.0,2.0,1.0,0.0,0.0,6.0,4,89.28369,0.0
1,40,0.0,0.0,0.0,3.0,0.0,0.0,7.0,2,89.35525,0.0
1,50,0.0,0.0,0.0,3.0,0.0,0.0,7.0,2,88.34233,7.6293945e-06
1,60,0.0,0.0,1.0,2.0,1.0,0.0,6.0,4,89.76441,-7.6293945e-06
1,70,1.0,0.0,1.0,2.0,1.0,0.0,5.0,5,87.88524,0.0
1,80,0.0,1.0,1.0,2.0,0.0,0.0,6.0,4,88.40774,7.6293945e-06
1,90,2.0,2.0,0.0,2.0,0.0,0.0,4.0,4,88.49376,0.0
2,0,1.0,0.0,0.0,3.0,2.0,0.0,4.0,4,88.36806,0.0
2,10,2.0,0.0,1.0,4.0,0.0,0.0,3.0,4,88.62506,7.6293945e-06
2,20,1.0,0.0,1.0,1.0,0.0,0.0,7.0,4,89.95725,7.6293945e-06
2,30,0.0,1.0,2.0,1.0,0.0,0.0,6.0,4,89.28369,0.0
2,40,0.0,0.0,0.0,3.0,0.0,0.0,7.0,2,89.35525,0.0
2,50,0.0,0.0,0.0,3.0,0.0,0.0,7.0,2,88.34233,7.6293945e-06
2,60,0.0,0.0,1.0,2.0,1.0,0.0,6.0,4,89.76441,-7.6293945e-06
2,70,1.0,0.0,1.0,2.0,1.0,0.0,5.0,5,87.88524,0.0
2,80,0.0,1.0,1.0,2.0,0.0,0.0,6.0,4,88.40774,7.6293945e-06
2,90,2.0,2.0,0.0,2.0,0.0,0.0,4.0,4,88.49376,0.0
3,0,1.0,0.0,0.0,3.0,2.0,0.0,4.0,4,88.36806,0.0
3,10,2.0,0.0,1.0,4.0,0.0,0.0,3.0,4,88.62506,7.6293945e-06
3,20,1.0,0.0,1.0,1.0,0.0,0.0,7.0,4,89.95725,7.6293945e-06
3,30,0.0,1.0,2.0,1.0,0.0,0.0,6.0,4,89.28369,0.0
3,40,0.0,0.0,1.0,2.0,0.0,0.0,7.0,3,89.338066,0.017181396
3,50,0.0,0.0,0.0,3.0,1.0,0.0,6.0,3,88.30151,0.04082489
3,60,0.0,0.0,1.0,2.0,1.0,0.0,6.0,4,89.76441,-7.6293945e-06
3,70,1.0,0.0,1.0,2.0,1.0,0.0,5.0,5,87.88524,0.0
3,80,0.0,1.0,1.0,2.0,0.0,0.0,6.0,4,88.40774,7.6293945e-06
3,90,2.0,2.0,0.0,2.0,0.0,0.0,4.0,4,88.49376,0.0
4,0,1.0,0.0,0.0,3.0,2.0,0.0,4.0,4,88.36806,0.0
4,10,2.0,0.0,1.0,4.0,0.0,0.0,3.0,4,88.62506,7.6293945e-06
4,20,1.0,0.0,1.0,1.0,0.0,0.0,7.0,4,89.95725,7.6293945e-06
