seed,n_lifestyle_articles,n_entertainment_articles,n_bus_articles,n_socmed_articles,n_tech_articles,n_world_articles,n_other_articles,shares_trade_off
0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0.5182495
10,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.57092285
20,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.6165695
30,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.9312134
40,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.2912521
50,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.97047424
60,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.38334656
70,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.50125885
80,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.6199951
90,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.33728027
