topics, num_imgs, num_hrefs, kw_avg_avg, data_channel_is_tech, data_channel_is_other, shares
Entertainment,1.0,4.0,0.0,0.0,0.0,593
Business,1.0,3.0,0.0,0.0,0.0,711
Business,1.0,3.0,0.0,0.0,0.0,1500
Entertainment,1.0,9.0,0.0,0.0,0.0,1200
Technology,20.0,19.0,0.0,1.0,0.0,505
Technology,0.0,2.0,0.0,1.0,0.0,855
Lifestyle,20.0,21.0,0.0,0.0,0.0,556
Technology,20.0,20.0,0.0,1.0,0.0,891
Technology,0.0,2.0,0.0,1.0,0.0,3600
World,1.0,4.0,0.0,0.0,0.0,710
World,1.0,11.0,0.0,0.0,0.0,2200
Lifestyle,1.0,7.0,0.0,0.0,0.0,1900
Other,11.0,18.0,0.0,0.0,1.0,823
Other,0.0,4.0,0.0,0.0,1.0,10000
Other,9.0,19.0,0.0,0.0,1.0,761
World,1.0,10.0,0.0,0.0,0.0,1600
Other,12.0,26.0,0.0,0.0,1.0,13600
Business,1.0,11.0,0.0,0.0,0.0,3100
Lifestyle,1.0,3.0,0.0,0.0,0.0,5700
Technology,42.0,24.0,0.0,1.0,0.0,17100
Technology,20.0,21.0,0.0,1.0,0.0,2800
World,1.0,9.0,0.0,0.0,0.0,598
Technology,20.0,20.0,0.0,1.0,0.0,445
World,1.0,1.0,0.0,0.0,0.0,1500
Business,1.0,3.0,0.0,0.0,0.0,852
Technology,1.0,5.0,0.0,1.0,0.0,783
Technology,1.0,5.0,0.0,1.0,0.0,1500
Technology,28.0,22.0,0.0,1.0,0.0,1800
Lifestyle,0.0,1.0,0.0,0.0,0.0,462
Business,1.0,18.0,0.0,0.0,0.0,425
Business,1.0,8.0,0.0,0.0,0.0,3200
Technology,19.0,2.0,0.0,1.0,0.0,3900
Technology,14.0,0.0,0.0,1.0,0.0,480
Other,1.0,5.0,0.0,0.0,1.0,573
Lifestyle,1.0,7.0,0.0,0.0,0.0,3600
Lifestyle,1.0,4.0,0.0,0.0,0.0,343
Technology,20.0,27.0,0.0,1.0,0.0,7700
Social Media,0.0,9.0,0.0,0.0,0.0,2600
World,1.0,8.0,0.0,0.0,0.0,504
Entertainment,0.0,4.0,0.0,0.0,0.0,2100
Technology,20.0,21.0,0.0,1.0,0.0,1100
Technology,1.0,0.0,0.0,1.0,0.0,401
Technology,42.0,24.0,0.0,1.0,0.0,4200
Technology,20.0,19.0,0.0,1.0,0.0,1200
Technology,20.0,20.0,0.0,1.0,0.0,1500
Business,1.0,2.0,0.0,0.0,0.0,575
Lifestyle,20.0,25.0,0.0,0.0,0.0,507
Entertainment,0.0,5.0,0.0,0.0,0.0,1200
Technology,20.0,21.0,0.0,1.0,0.0,695
Technology,20.0,20.0,0.0,1.0,0.0,1200
Technology,0.0,2.0,0.0,1.0,0.0,4900
Technology,20.0,21.0,0.0,1.0,0.0,382
Technology,20.0,21.0,0.0,1.0,0.0,400
Entertainment,1.0,5.0,0.0,0.0,0.0,4600
Technology,20.0,21.0,0.0,1.0,0.0,2400
Technology,1.0,7.0,0.0,1.0,0.0,1600
Other,1.0,11.0,0.0,0.0,1.0,1100
Technology,0.0,7.0,0.0,1.0,0.0,1300
Business,23.0,9.0,0.0,0.0,0.0,819
Technology,10.0,5.0,0.0,1.0,0.0,585
Technology,19.0,19.0,0.0,1.0,0.0,536
Technology,1.0,3.0,0.0,1.0,0.0,834
Technology,20.0,22.0,0.0,1.0,0.0,645
Technology,4.0,1.0,0.0,1.0,0.0,598
Technology,20.0,21.0,0.0,1.0,0.0,217
Technology,1.0,3.0,0.0,1.0,0.0,3200
Technology,1.0,1.0,0.0,1.0,0.0,545
World,1.0,7.0,0.0,0.0,0.0,1800
Entertainment,1.0,4.0,0.0,0.0,0.0,1200
Business,1.0,3.0,0.0,0.0,0.0,732
World,1.0,8.0,0.0,0.0,0.0,1200
Technology,1.0,4.0,0.0,1.0,0.0,2800
World,1.0,3.0,0.0,0.0,0.0,495
Social Media,11.0,14.0,0.0,0.0,0.0,690
Technology,20.0,19.0,0.0,1.0,0.0,1300
Lifestyle,1.0,7.0,0.0,0.0,0.0,552
Entertainment,12.0,3.0,0.0,0.0,0.0,631
Social Media,1.0,10.0,0.0,0.0,0.0,4800
Social Media,1.0,15.0,0.0,0.0,0.0,851
World,0.0,5.0,804.380311355,0.0,0.0,755
World,1.0,8.0,728.230311355,0.0,0.0,468
Technology,9.0,4.0,1184.56000887,1.0,0.0,4600
