seed,test_rmse,test_mae,test_r2,test_mse,opt_selected_indices,opt_status,opt_total_shares,opt_n_selected
0,0.8567376064096551,0.6319087652857159,0.14482838238687645,0.7339993262365452,"[1298, 2256, 2294, 2893, 3209, 3833, 6701, 7331, 7507, 7559]",Optimal,72852.734375,10
1,0.8432786956908818,0.6238382260650178,0.1584945639512454,0.7111189586061148,"[2303, 2904, 3420, 3778, 4024, 4825, 4956, 6237, 6514, 7501]",Optimal,70474.015625,10
7,0.8570176530492715,0.6340170160650473,0.1487858183704398,0.7344792576380815,"[1097, 1691, 4091, 5555, 5787, 6430, 6697, 6739, 6959, 7469]",Optimal,82500.90625,10
10,0.8538064843950509,0.6246848070242595,0.1666088151029247,0.7289855127950363,"[153, 839, 2290, 2772, 2878, 4549, 4915, 5819, 6125, 7057]",Optimal,80572.6171875,10
34,0.8602340669852075,0.6362451867866814,0.156750203410147,0.7400026500019105,"[2943, 3084, 4060, 4241, 4441, 4998, 6018, 7432, 7506, 7699]",Optimal,80591.5,10
42,0.8479206996627207,0.6300577767908138,0.16126380519059402,0.7189695129165177,"[854, 2136, 2498, 2603, 3617, 4984, 6231, 6395, 6817, 7551]",Optimal,79991.65625,10
123,0.8726133170628978,0.638201558550563,0.15454033811330636,0.7614540011155133,"[463, 1454, 2208, 2488, 4639, 4882, 5559, 6382, 6964, 7807]",Optimal,87040.671875,10
289,0.8489242755974153,0.6280259345065141,0.1490332088802352,0.7206724256985965,"[730, 1098, 2223, 3114, 4025, 4963, 6513, 6735, 7418, 7868]",Optimal,71919.21875,10
340,0.8334098255772057,0.6139249318050084,0.15839971923022356,0.6945719373686283,"[318, 1852, 3827, 4074, 4136, 4388, 5926, 6909, 6962, 7743]",Optimal,76884.9921875,10
456,0.8668546464969937,0.6376094901277999,0.15234750941593111,0.751436978153428,"[881, 952, 2832, 4337, 5004, 5232, 6330, 6584, 7845, 7886]",Optimal,84931.3828125,10
789,0.8480889809133503,0.6299059537615445,0.16072375596578714,0.719254919546645,"[132, 246, 1741, 1890, 2750, 3359, 3444, 5642, 5858, 6304]",Optimal,67152.9921875,10
1001,0.8553953575718182,0.628932876324556,0.16323771277456278,0.7317012177554186,"[303, 349, 742, 859, 2241, 5891, 6065, 6333, 6449, 7772]",Optimal,74054.2109375,10
1010,0.8716397673306888,0.6364728564808524,0.16287026557332418,0.7597558839922973,"[1353, 1757, 2268, 3157, 4112, 5487, 6798, 7005, 7372, 7436]",Optimal,76376.046875,10
1234,0.8555743927795095,0.627365190416079,0.14290178670251763,0.7320075415800265,"[247, 581, 757, 1848, 2390, 2921, 3743, 5218, 5570, 6434]",Optimal,78084.421875,10
2026,0.8571641975267622,0.6338366431153424,0.15357044057391633,0.7347304615216983,"[61, 178, 1196, 1408, 1763, 4658, 5473, 6062, 6318, 7717]",Optimal,79944.3671875,10
3443,0.8563878770493015,0.6343939785381956,0.14632701190197983,0.7334001959570097,"[642, 832, 2190, 2320, 2504, 2649, 3341, 4413, 6139, 7570]",Optimal,77035.6796875,10
4567,0.8440609035721748,0.6265053951204441,0.14721555420382548,0.7124388089390761,"[117, 1130, 1957, 2632, 4548, 4887, 5915, 5937, 6317, 7033]",Optimal,76265.6015625,10
7890,0.8379964375041061,0.6228247110339612,0.16702247462404496,0.7022380292695732,"[10, 319, 622, 1151, 2462, 3317, 3463, 4048, 4238, 4612]",Optimal,77263.4140625,10
8910,0.8544852785325622,0.6286057034433612,0.149033292772914,0.7301450912288703,"[25, 1412, 2460, 2622, 2741, 2865, 3480, 4933, 5142, 5352]",Optimal,78499.96875,10
101010,0.8532582961056244,0.6282020704740525,0.14990285878817278,0.7280497198730735,"[1742, 1796, 1826, 2533, 4903, 4990, 5036, 6578, 7794, 7893]",Optimal,83263.2734375,10
