diversity_level,lp_shares,top10_shares,diversity_cost,pct_cost,n_selected,actual_categories,selected_indices,status,marginal_cost,max_shares,seed
0,88.62506103515625,88.62506866455078,7.62939453125e-06,0.0,10,6,"[331, 594, 925, 1289, 1920, 3144, 3374, 4105, 6499, 6848]",Optimal,,88.62506103515625,10
1,88.62506103515625,88.62506866455078,7.62939453125e-06,0.0,10,6,"[331, 594, 925, 1289, 1920, 3144, 3374, 4105, 6499, 6848]",Optimal,-0.0,88.62506103515625,10
2,88.62506103515625,88.62506866455078,7.62939453125e-06,0.0,10,6,"[331, 594, 925, 1289, 1920, 3144, 3374, 4105, 6499, 6848]",Optimal,-0.0,88.62506103515625,10
3,88.62506103515625,88.62506866455078,7.62939453125e-06,0.0,10,6,"[331, 594, 925, 1289, 1920, 3144, 3374, 4105, 6499, 6848]",Optimal,-0.0,88.62506103515625,10
4,88.62506103515625,88.62506866455078,7.62939453125e-06,0.0,10,6,"[331, 594, 925, 1289, 1920, 3144, 3374, 4105, 6499, 6848]",Optimal,-0.0,88.62506103515625,10
5,88.62506103515625,88.62506866455078,7.62939453125e-06,0.0,10,6,"[331, 594, 925, 1289, 1920, 3144, 3374, 4105, 6499, 6848]",Optimal,-0.0,88.62506103515625,10
6,88.62506103515625,88.62506866455078,7.62939453125e-06,0.0,10,6,"[331, 594, 925, 1289, 1920, 3144, 3374, 4105, 6499, 6848]",Optimal,-0.0,88.62506103515625,10
7,88.47726440429688,88.62506866455078,0.1478042602539062,0.1667661823112835,10,7,"[331, 594, 925, 1198, 1289, 3144, 3374, 4105, 6499, 6848]",Optimal,0.147796630859375,88.62506103515625,10
0,90.41179656982422,90.41179656982422,0.0,0.0,10,6,"[968, 1198, 2603, 2669, 2915, 3662, 4284, 6231, 6395, 7344]",Optimal,,90.41179656982422,42
1,90.41179656982422,90.41179656982422,0.0,0.0,10,6,"[968, 1198, 2603, 2669, 2915, 3662, 4284, 6231, 6395, 7344]",Optimal,-0.0,90.41179656982422,42
2,90.41179656982422,90.41179656982422,0.0,0.0,10,6,"[968, 1198, 2603, 2669, 2915, 3662, 4284, 6231, 6395, 7344]",Optimal,-0.0,90.41179656982422,42
3,90.41179656982422,90.41179656982422,0.0,0.0,10,6,"[968, 1198, 2603, 2669, 2915, 3662, 4284, 6231, 6395, 7344]",Optimal,-0.0,90.41179656982422,42
4,90.41179656982422,90.41179656982422,0.0,0.0,10,6,"[968, 1198, 2603, 2669, 2915, 3662, 4284, 6231, 6395, 7344]",Optimal,-0.0,90.41179656982422,42
5,90.41179656982422,90.41179656982422,0.0,0.0,10,6,"[968, 1198, 2603, 2669, 2915, 3662, 4284, 6231, 6395, 7344]",Optimal,-0.0,90.41179656982422,42
6,90.41179656982422,90.41179656982422,0.0,0.0,10,6,"[968, 1198, 2603, 2669, 2915, 3662, 4284, 6231, 6395, 7344]",Optimal,-0.0,90.41179656982422,42
7,90.33199310302734,90.41179656982422,0.079803466796875,0.0882666530525621,10,7,"[968, 2603, 2669, 2915, 3662, 4284, 5024, 6231, 6395, 7344]",Optimal,0.079803466796875,90.41179656982422,42
0,88.93330383300781,88.93330383300781,0.0,0.0,10,4,"[1258, 1757, 3157, 3254, 3952, 4112, 5584, 7237, 7304, 7372]",Optimal,,88.93330383300781,1010
1,88.93330383300781,88.93330383300781,0.0,0.0,10,4,"[1258, 1757, 3157, 3254, 3952, 4112, 5584, 7237, 7304, 7372]",Optimal,-0.0,88.93330383300781,1010
2,88.93330383300781,88.93330383300781,0.0,0.0,10,4,"[1258, 1757, 3157, 3254, 3952, 4112, 5584, 7237, 7304, 7372]",Optimal,-0.0,88.93330383300781,1010
3,88.93330383300781,88.93330383300781,0.0,0.0,10,4,"[1258, 1757, 3157, 3254, 3952, 4112, 5584, 7237, 7304, 7372]",Optimal,-0.0,88.93330383300781,1010
4,88.93330383300781,88.93330383300781,0.0,0.0,10,4,"[1258, 1757, 3157, 3254, 3952, 4112, 5584, 7237, 7304, 7372]",Optimal,-0.0,88.93330383300781,1010
5,88.8941421508789,88.93330383300781,0.0391616821289062,0.0440348895644775,10,5,"[1258, 1757, 3157, 3254, 3952, 4112, 6275, 7237, 7304, 7372]",Optimal,0.0391616821289062,88.93330383300781,1010
6,88.82268524169922,88.93330383300781,0.1106185913085937,0.1243837646201752,10,6,"[1258, 3157, 3254, 3952, 4112, 4201, 6275, 7237, 7304, 7372]",Optimal,0.0714569091796875,88.93330383300781,1010
7,88.62481689453125,88.93330383300781,0.3084869384765625,0.3468744836645401,10,7,"[1258, 3157, 3254, 4112, 4201, 6275, 7034, 7237, 7304, 7372]",Optimal,0.1978683471679687,88.93330383300781,1010
